index,count,mean,std,min,25%,50%,75%,max
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,1773.0,0.4340854089114496,0.6288535740685204,5.9999999999999995e-05,0.1066,0.23267,0.4937,7.196680000000001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,1770.0,0.4247163785310734,0.6233408239388328,5.9999999999999995e-05,0.104505,0.22684500000000002,0.4851675,7.196680000000001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,1767.0,0.6835642840973403,1.0681203035269988,0.00013000000000000002,0.094145,0.32874000000000003,0.8383099999999999,13.440539999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,1766.0,1.4262682955832389,2.3407968215898127,0.00039,0.14137750000000002,0.6032150000000001,1.7444600000000001,29.036659999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195,1766.0,1.4262682955832389,2.3407968215898127,0.00039,0.14137750000000002,0.6032150000000001,1.7444600000000001,29.036659999999998
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,1737.0,2.4142711111111113,4.842439475422098,0.00037,0.13712,0.6565300000000001,2.52412,62.268
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,1737.0,2.4142711111111113,4.842439475422098,0.00037,0.13712,0.6565300000000001,2.52412,62.268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065,1736.0,0.762917943548387,1.2006539242656,0.0002,0.0885,0.321135,0.9009650000000001,14.698
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,1736.0,0.762917943548387,1.2006539242656,0.0002,0.0885,0.321135,0.9009650000000001,14.698
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,1735.0,0.37754093948126805,0.6898033710830476,4e-05,0.06526,0.18029,0.41763999999999996,16.55161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,1725.0,2.170644417391305,3.380078880429784,0.00036,0.30825,0.9043,2.51209,29.370359999999998
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,1718.0,2.4366591385331784,4.861363262138353,0.00018999999999999998,0.1396425,0.671435,2.5558775,62.26144
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,1715.0,0.46842306705539366,1.6607280989622855,0.00011999999999999999,0.017305,0.07007000000000001,0.254945,25.3966
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,1715.0,0.46842306705539366,1.6607280989622855,0.00011999999999999999,0.017305,0.07007000000000001,0.254945,25.3966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,1704.0,0.15831973591549298,0.44446723135136135,0.00014,0.013842499999999999,0.045935000000000004,0.13163,8.31167
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,1704.0,0.15831973591549298,0.44446723135136135,0.00014,0.013842499999999999,0.045935000000000004,0.13163,8.31167
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname,1697.0,0.6703076193282262,1.4763100202341444,0.00013000000000000002,0.01804,0.12289000000000001,0.6945,18.36028
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,1692.0,0.6060637765957447,1.0580177403836428,0.00055,0.0617925,0.21437499999999998,0.724585,13.40988
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,1684.0,3.1275523574821853,9.464150706236707,0.0005200000000000001,0.05313,0.28345,1.701915,98.97546
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,1684.0,3.1275523574821853,9.464150706236707,0.0005200000000000001,0.05313,0.28345,1.701915,98.97546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,1683.0,2.3968873737373735,5.221508103890842,0.00021,0.079165,0.51157,2.0929200000000003,49.71978
